NUMERO ARBOL,NOMBRE COMUN,ESPECIE CIENTIFICA,ANIO MEDICION,DAP CM,ALTURA M,BIOMASA TOTAL KG,CARBONO TOTAL MG,CO2 EQUIVALENTE MG,ESTADO ARBOL
1,Guayaba,Psidium guajava,2018,25.7,4.0,0.184,0.3373,0.3373,Activo
1,Guayaba,Psidium guajava,2019,27.5,4.0,0.2112,0.3873,0.3873,Activo
2,Guayaba,Psidium guajava,2018,16.7,4.0,0.0764,0.14,0.14,Activo
2,Guayaba,Psidium guajava,2019,17.9,4.0,0.088,0.1613,0.1613,Activo
3,Poró cuchillito,Erythrina berteroana,2018,17.5,4.0,0.0406,0.0745,0.0745,Activo
3,Poró cuchillito,Erythrina berteroana,2019,19.5,4.0,0.0507,0.0929,0.0929,Activo
4,Ciprés,Cupressus lusitanica,2018,55.5,5.0,0.6622,1.2141,1.2141,Activo
4,Ciprés,Cupressus lusitanica,2019,58.9,5.0,0.7476,1.3707,1.3707,Activo
5,Guachipelin,Diphysa americana,2018,13.5,5.0,0.0931,0.1706,0.1706,Activo
5,Guachipelin,Diphysa americana,2019,14.9,5.0,0.1138,0.2087,0.2087,Activo
6,Guachipelin,Diphysa americana,2018,22.0,5.0,0.252,0.462,0.462,Activo
6,Guachipelin,Diphysa americana,2019,24.1,5.0,0.3035,0.5564,0.5564,Activo
7,Jacaranda,Jacaranda mimosifolia,2018,32.4,6.0,0.3721,0.6822,0.6822,Activo
7,Jacaranda,Jacaranda mimosifolia,2019,37.8,6.0,0.5096,0.9343,0.9343,Activo
8,Jacaranda,Jacaranda mimosifolia,2018,23.3,7.0,0.2142,0.3926,0.3926,Activo
8,Jacaranda,Jacaranda mimosifolia,2019,25.2,7.0,0.2513,0.4607,0.4607,Activo
9,Jacaranda,Jacaranda mimosifolia,2018,23.0,7.0,0.2086,0.3824,0.3824,Activo
9,Jacaranda,Jacaranda mimosifolia,2019,25.0,7.0,0.2472,0.4533,0.4533,Activo
10,Guachipelin,Diphysa americana,2018,20.3,4.0,0.1797,0.3295,0.3295,Activo
10,Guachipelin,Diphysa americana,2019,20.9,4.0,0.1907,0.3497,0.3497,Activo
11,Casco de venado,Bauhinia purpurea,2018,18.4,5.0,0.1286,0.2358,0.2358,Activo
11,Casco de venado,Bauhinia purpurea,2019,20.1,5.0,0.154,0.2823,0.2823,Activo
12,Casco de venado,Bauhinia purpurea,2018,14.8,5.0,0.0825,0.1512,0.1512,Activo
12,Casco de venado,Bauhinia purpurea,2019,16.0,5.0,0.0967,0.1773,0.1773,Activo
13,Casco de venado,Bauhinia purpurea,2018,15.7,5.0,0.093,0.1706,0.1706,Activo
13,Casco de venado,Bauhinia purpurea,2019,16.9,5.0,0.1081,0.1982,0.1982,Activo
14,Casco de venado,Bauhinia purpurea,2018,17.4,5.0,0.1147,0.2104,0.2104,Activo
14,Casco de venado,Bauhinia purpurea,2019,19.2,5.0,0.1402,0.2571,0.2571,Activo
15,Uruca,Trichilia havanensis,2018,20.4,6.0,0.1448,0.2655,0.2655,Activo
15,Uruca,Trichilia havanensis,2019,23.2,6.0,0.1883,0.3452,0.3452,Activo
16,Uruca,Trichilia havanensis,2018,13.7,6.0,0.0643,0.1179,0.1179,Activo
16,Uruca,Trichilia havanensis,2019,14.1,6.0,0.0682,0.125,0.125,Activo
17,Uruca,Trichilia havanensis,2018,15.7,6.0,0.0849,0.1556,0.1556,Activo
17,Uruca,Trichilia havanensis,2019,17.0,6.0,0.0998,0.1831,0.1831,Activo
18,Uruca,Trichilia havanensis,2018,12.8,6.0,0.056,0.1026,0.1026,Activo
18,Uruca,Trichilia havanensis,2019,14.0,6.0,0.0672,0.1232,0.1232,Activo
19,Uruca,Trichilia havanensis,2018,16.1,6.0,0.0894,0.1638,0.1638,Activo
19,Uruca,Trichilia havanensis,2019,17.6,6.0,0.1072,0.1965,0.1965,Activo
20,Isopo,Melaleuca quinquenervia,2018,15.9,7.0,0.0982,0.1801,0.1801,Activo
20,Isopo,Melaleuca quinquenervia,2019,17.4,7.0,0.118,0.2164,0.2164,Activo
21,Cedro,Cedrela odorata,2018,52.0,12.0,1.2643,2.3181,2.3181,Activo
21,Cedro,Cedrela odorata,2019,55.4,12.0,1.4387,2.6378,2.6378,Activo
22,Casco de venado,Bauhinia purpurea,2018,13.3,5.0,0.0663,0.1216,0.1216,Activo
22,Casco de venado,Bauhinia purpurea,2019,13.8,5.0,0.0715,0.1311,0.1311,Activo
23,Yos,Sapium glandulosum,2018,11.8,5.0,0.0325,0.0595,0.0595,Activo
23,Yos,Sapium glandulosum,2019,12.5,5.0,0.0365,0.067,0.067,Activo
24,Yos,Sapium glandulosum,2018,13.5,4.0,0.0359,0.0658,0.0658,Activo
24,Yos,Sapium glandulosum,2019,14.5,4.0,0.0415,0.0762,0.0762,Activo
25,Mango,Mangifera indica,2018,14.2,5.0,0.0579,0.1062,0.1062,Activo
25,Mango,Mangifera indica,2019,14.4,5.0,0.0596,0.1092,0.1092,Activo
26,Mango,Mangifera indica,2018,11.5,5.0,0.0377,0.069,0.069,Activo
26,Mango,Mangifera indica,2019,12.7,5.0,0.0461,0.0845,0.0845,Activo
